day,jst_time,channel,format,series,hook,prefill_query,primary_cta,marketplace_message,asset_requirement,status
1,12:15,X,TEXT,これ何系？,"黒・短丈・少しゆるい。韓国っぽいこのトップス、何て検索する？","韓国っぽい 黒 短丈 ゆるい トップス","覚えている特徴を返信","8モールを検索候補として横断","自社テキストのみ",APPROVED
1,20:00,INSTAGRAM_REELS,REEL,3秒で検索語,"商品名は知らない。でも見た目は覚えてる。","韓国ストリート 黒 クロップド トップス","HOSHILUで検索","確認済み商品ページだけ表示","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
2,08:15,X,TEXT,検索あるある,"ブランド名を忘れても、色と形は覚えてる。そこから探せます。","シルバー ミニバッグ 海外ガール","検索してみる","Amazon・楽天・Qoo10・SHEINほか","自社テキストのみ",APPROVED
2,18:30,INSTAGRAM_STORIES,POLL,これ何系？,"このコーデは韓国ストリート？Y2K？","黒 オーバーサイズ カーゴパンツ","投票","投票結果を翌日の検索へ利用","自社制作図版",ASSET_REQUIRED
3,12:15,X,VIDEO,コメントから検索,"昨日の回答をHOSHILUにそのまま入れてみた。","韓国ストリート 黒 オーバーサイズ カーゴパンツ","次の検索語を返信","8モール横断候補","自社UI録画＋自社音源",ASSET_REQUIRED
3,20:00,INSTAGRAM_REELS,REEL,8モール横断,"同じ欲しいを、1つのモールだけで諦めない。","Y2K シルバー ミニバッグ","保存","8モールは検索対象・出品確認済みだけ詳細表示","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
4,12:15,X,TEXT,日英検索,"Korean street, black cropped top――英語が混ざっても探せる。","Korean street black cropped top","試す","日本語・英語の検索条件を保持","自社テキストのみ",APPROVED
4,20:00,INSTAGRAM,CAROUSEL,検索のコツ,"商品名なしで服を探す5つの手掛かり","黒 クロップド リボン トップス 韓国","保存","系統・服種・形・ディテール・色","自社制作5枚",ASSET_REQUIRED
5,12:15,X,TEXT,モールの違い,"Qoo10やSHEINで見た服、楽天やZOZOにも候補がある？","韓国ガーリー リボン ブラウス ピンク","HOSHILUで横断","出品確認済みモールのみ「見る」","自社テキストのみ",APPROVED
5,20:00,INSTAGRAM_REELS,REEL,今週の発見,"韓国ガーリーを『かわいい服』だけで終わらせない。","韓国ガーリー ピンク リボン ブラウス","検索","Qoo10・SHEIN・MUSINSAを含む候補","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
6,12:15,X,TEXT,ほしっトク,"見つからない日は、検索を捨てずにほしっトク。","日本ブランド グレー ロングコート","保存","後日の候補追加・再検索につなぐ","自社テキストのみ",APPROVED
6,18:30,INSTAGRAM_STORIES,QUESTION,商品リクエスト,"SNSで見失った服、特徴を3つ教えて。","SNSで見た ブランド不明 服","質問箱へ回答","匿名化した需要だけ検索改善へ利用","自社制作図版",ASSET_REQUIRED
7,21:00,X,VIDEO,週間まとめ,"今週みんなが探した『名前の分からない服』3選。","今週 人気 服","次に探してほしい物を返信","人気Wishと検索例を紹介","自社UI録画＋自社音源",ASSET_REQUIRED
7,20:00,INSTAGRAM,FEED,人気Wish,"買う前に保存。みんなの『あとで欲しい』から次の流行を発見。","今週 人気 ほしっトク アパレル","保存","特定店舗を優遇しない","匿名集計＋自社図版",ASSET_REQUIRED
8,12:15,X,TEXT,これ何系？,"大きめジャケット、細身トップス、ワイドパンツ。この系統は？","シティボーイ オーバーサイズ ジャケット ワイドパンツ","系統名を返信","8モール横断候補","自社テキストのみ",APPROVED
8,20:00,INSTAGRAM_REELS,REEL,3秒で検索語,"『海外っぽい』を検索できる条件に変えてみる。","海外ガール シアー ブルー ロングスカート","HOSHILUで検索","BUYMAを含む海外ブランド候補","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
9,08:15,X,TEXT,検索あるある,"スクショはある。でも商品名はない。覚えている特徴だけでも始められる。","白 フリル オフショル トップス","試す","検索結果をほしっトク可能","自社テキストのみ",APPROVED
9,18:30,INSTAGRAM_STORIES,POLL,モール横断,"服を探すとき最初に見るのは？","若者 ファッション モール","投票","Amazon・楽天・Qoo10・SHEIN・ZOZO等","自社制作図版",ASSET_REQUIRED
10,12:15,X,VIDEO,コメントから検索,"『白・フリル・肩が出る』だけでどこまで探せる？","白 フリル オフショル トップス","検索語を返信","確認済み詳細URLへ直接遷移","自社UI録画＋自社音源",ASSET_REQUIRED
10,20:00,INSTAGRAM,CAROUSEL,ブランド横断,"韓国系・日本ブランド・海外ブランドを分けずに探す方法","モード 黒 ロングコート","保存","8モール横断の使い分け","自社制作6枚",ASSET_REQUIRED
11,12:15,X,TEXT,日英検索,"Where can I find this in Japan? 色・形・用途をそのまま入力。","vintage brown leather shoulder bag Japan","検索してみる","在日外国人向け日英導線","自社テキストのみ",APPROVED
11,20:00,INSTAGRAM_REELS,REEL,多言語検索,"英語名しか分からない服も、日本で探す。","vintage brown leather shoulder bag Japan","HOSHILUで検索","日本で買える候補を横断","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
12,12:15,X,TEXT,ほしっトク,"今すぐ買わない。でも忘れたくない。それが、ほしっトク。","グランジ ダメージ デニム ワイド","保存","再検索と候補追加につなぐ","自社テキストのみ",APPROVED
12,18:30,INSTAGRAM_STORIES,QUESTION,商品リクエスト,"来週HOSHILUに探してほしい服は？","来週 探してほしい 服","質問箱へ回答","回答を検索辞書と企画へ反映","自社制作図版",ASSET_REQUIRED
13,12:15,X,TEXT,人気Wish,"みんなが保存した検索から、次に来る系統を見つける。","人気 ほしっトク 韓国ファッション","返信","個人を特定しない匿名集計","自社テキストのみ",APPROVED
13,20:00,INSTAGRAM_REELS,REEL,今週の発見,"今週の『名前が分からなかった服』を15秒で。","今週 人気 アパレル","保存","3商品の確認済みモールを紹介","自社UI録画＋権利確認済み音源",ASSET_REQUIRED
14,21:00,X,VIDEO,週間まとめ,"あなたの曖昧な記憶が、次の検索辞書を育てる。","SNSで見た 名前が分からない 服","次の特徴を返信","横断検索・保存・再訪","自社UI録画＋自社音源",ASSET_REQUIRED
14,20:00,INSTAGRAM,FEED,日本攻略宣言,"服の名前を知らなくても、日本で探せる場所へ。","名前が分からない 服 日本で探す","プロフィールから検索","韓国・日本・海外ブランドを8モール横断","自社ブランド図版",ASSET_REQUIRED
