day,series,hook,format,primary_channel,cta,product_asset_required,status
1,ブランド宣言,"商品名が分からなくても、探せる。",motion_text,Instagram_Reels,"今日は何が欲しい？",NO,READY
2,これ何て検索する,"車のシートの隙間に落ちる物を防ぐ、あれ",quiz,TikTok,"検索語をコメント",NO,READY
3,3つのヒント,"丸い・磁石・スマホの背面",quiz,Instagram_Reels,"答えをコメント",NO,READY
4,MYCONCIERGE,"曖昧な説明から条件を3つに整理",screen_demo,YouTube_Shorts,"MYGATEで話す",NO,READY
5,今日は何が欲しい,"週末に探したいもの募集",question,X,"欲しいを返信",NO,READY
6,昔見たあれ,"昔テレビで見た青い掃除道具",story,TikTok,"記憶の断片をコメント",NO,READY
7,MYWISH,"今見つからなくても忘れない",screen_demo,Instagram_Reels,"MYWISHに保存",NO,READY
8,これ何て検索する,"お風呂でスマホを見るための、あれ",quiz,TikTok,"名前を当てる",NO,READY
9,日本で使える,"海外家電で最初に見る3項目",checklist,YouTube_Shorts,"保存して確認",NO,READY
10,ブランド共感,"検索窓に何と入れるか分からない人へ",motion_text,Instagram_Reels,"友人にシェア",NO,READY
11,3つのヒント,"白い・配信・机に置く",quiz,TikTok,"商品カテゴリを回答",NO,READY
12,MYWATCH,"再入荷・値下げ・日本発売を通知",screen_demo,Instagram_Reels,"通知条件を選ぶ",NO,READY
13,今日は何が欲しい,"名前を忘れた商品募集",question,X,"覚えている特徴を返信",NO,READY
14,MYTREASURE,"みんなの欲しいが需要の地図になる",motion_graphic,YouTube_Shorts,"欲しいを残す",NO,READY
15,これ何て検索する,"旅行中に複数端末を充電する小さい物",quiz,TikTok,"検索語をコメント",NO,READY
16,会話デモ,"5年前にAmazonで見た充電器",screen_demo,Instagram_Reels,"曖昧なまま話す",NO,READY
17,海外商品チェック,"プラグ・電圧・周波数",checklist,YouTube_Shorts,"保存して使う",NO,READY
18,UGC募集,"あなたの『名前が分からない』を教えて",question,TikTok,"コメント募集",NO,READY
19,MYWISH,"探し直す時間を減らす",motion_text,Instagram_Reels,"続きから探す",NO,READY
20,3つのヒント,"車・隙間・小物",quiz,X,"答えを投票",NO,READY
21,一週間まとめ,"最も多かった曖昧検索TOP3",recap,Instagram_Reels,"次のテーマに投票",NO,READY
22,これ何て検索する,"ゲーム配信者が使う光る板",quiz,TikTok,"名称をコメント",NO,READY
23,安全な探し方,"互換性は型番まで確認",checklist,YouTube_Shorts,"型番をメモ",NO,READY
24,MYCONCIERGE,"質問を重ねて候補を狭める",screen_demo,Instagram_Reels,"会話を始める",NO,READY
25,今日は何が欲しい,"海外で見た商品募集",question,X,"国と特徴を返信",NO,READY
26,ブランドストーリー,"AIアプリは答える。MYGATEは見つかるまで覚える。",motion_text,TikTok,"MYGATEを保存",NO,READY
27,MYWATCH,"クーポンを約束せず有利な変化を知らせる",screen_demo,Instagram_Reels,"通知を選ぶ",NO,READY
28,MYTREASURE,"待っている人の数が商品開発のヒントに",motion_graphic,YouTube_Shorts,"欲しいを登録",NO,READY
29,許諾済み商品,"素材パック提供商品がある場合のみ掲載",product_video,Instagram_Reels,"MYGATE商品ページへ",YES,HOLD_FOR_APPROVAL
30,月次参加企画,"今月いちばん見つけたいもの",question,all,"投票・コメント",NO,READY
