task_id,phase,priority,workstream,task,status,dependency,user_action_required,acceptance
SELLER-001,1,P0,Public funnel,"/for-business 公開説明ページ",TODO,"現在のWorkerルーティング統合",NO,"未契約者が料金・参加方法・FAQを閲覧できる"
SELLER-002,1,P0,Public funnel,"トップの新規申請と契約済みログインを分離",TODO,SELLER-001,NO,"新規事業者がログイン画面へ迷い込まない"
SELLER-003,1,P0,Application,"参加申請フォームと入力検証",TODO,SELLER-001,NO,"必要項目を安全に送信できSecret入力欄がない"
SELLER-004,1,P0,Security,"Turnstile・レート制限・同意",TODO,SELLER-003,NO,"botと大量送信を抑止し同意日時を記録する"
SELLER-005,1,P0,Data,"seller_applications D1スキーマ",TODO,SELLER-003,NO,"申請状態と監査情報をテナント分離して保存する"
SELLER-006,1,P0,Notification,"受付番号と申請者・運営通知",TODO,"SELLER-003|SELLER-005",YES,"送信サービス選定後に重複なく通知できる"
SELLER-007,2,P0,Review,"承認・修正依頼・却下フロー",PARTIAL,SELLER-005,NO,"全判断を監査ログへ保存し承認前は商品非公開"
SELLER-008,2,P0,Contract,"契約条件と料金スナップショット",TODO,SELLER-007,NO,"契約後の料金変更が過去請求を変えない"
SELLER-009,2,P1,Contract,"電子契約サービス比較・接続",TODO,SELLER-008,YES,"署名済み契約と事業者IDを関連付ける"
SELLER-010,3,P0,Billing,"Stripe Customer連携",TODO,SELLER-008,YES,"HOSHILU事業者IDとStripe Customerを一意に関連付ける"
SELLER-011,3,P0,Billing,"月額Subscription／Checkout",TODO,SELLER-010,YES,"カード情報を保持せず月額を前払いできる"
SELLER-012,3,P0,Billing,"成果報酬の前払い残高・消化明細",PARTIAL,"SELLER-010|SELLER-018",YES,"残高を超えて債権化せず返品控除後の対象売上と料率を確認できる"
SELLER-013,3,P0,Security,"Stripe Webhook署名・冪等性",TODO,SELLER-010,YES,"再送Webhookで二重計上・二重請求しない"
SELLER-014,3,P1,Billing,"請求書・銀行振込",TODO,SELLER-010,YES,"法人向け支払期限と入金状態を管理できる"
SELLER-015,3,P0,Dunning,"次期未払い停止・支払確認後の再開",PARTIAL,SELLER-011,NO,"次期開始時の未払いで停止し署名確認済み支払後だけ再開する"
SELLER-016,4,P0,Pricing,"3か月導入料金判定",DONE,NONE,NO,"月額0円・成果報酬6%を判定できる"
SELLER-017,4,P0,Pricing,"4か月目の規模別推奨プラン",DONE,SELLER-016,NO,"商品数と帰属売上等からプランを推奨できる"
SELLER-018,4,P0,Attribution,"帰属売上・返品・税送料除外",PARTIAL,"署名付きリンクと注文照合",NO,"成果報酬対象額を再現可能に計算できる"
SELLER-019,4,P1,Migration,"移行14日前の通知と選択",TODO,"SELLER-006|SELLER-017",NO,"同意前に新料金を請求せず選択履歴を残す"
SELLER-020,5,P1,Dashboard,"セラー別KPI・請求明細",TODO,"SELLER-012|SELLER-018",NO,"他テナントを見せず自社成果と請求根拠を表示する"
SELLER-021,5,P1,Ranking,"契約直リンク・プラン別購入先優先",PARTIAL,"検索本体への統合",NO,"関連性基準内で上位サブスクから表示し成果報酬のみを下位にする"
SELLER-022,5,P1,Identity,"商品ID・バリエーションID別の商品判定",PARTIAL,"検索本体への統合",NO,"異なるモール商品IDまたはバリエーションIDを別商品として扱う"
SELLER-023,3,P0,Billing,"原則返金不可・例外二者承認",PARTIAL,"SELLER-010|正式規約の法務確認",YES,"途中解約・未使用・成果不満は返金せず二重課金・誤課金・法令上必要な場合だけ管理処理する"
