asset_id,file,visual_source,audio_title,audio_source,allowed_use,verified_date,status,notes
hoshilu_reel_9malls_01,tools/line-worker/public/social/hoshilu-reel-9malls-pop-v1.mp4,HOSHILU自社制作コラージュ,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-01,APPROVED,9秒・縦型・音声あり
hoshilu_reel_sale_01,tools/line-worker/public/social/hoshilu-reel-sale-pop-v1.mp4,HOSHILU自社制作コラージュ,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-01,APPROVED,9秒・縦型・音声あり
hoshilu_reel_ambiguous_01,tools/line-worker/public/social/hoshilu-reel-ambiguous-pop-v1.mp4,HOSHILU自社制作SNS画像,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-01,APPROVED,9秒・縦型・音声あり
hoshilu_feature_reel_13mall_01,tools/line-worker/public/social/hoshilu-feature-reel-13mall-v1.mp4,HOSHILU自社制作リール映像の再編集,instagram-reel-cross-market-audio-v2.mp4収録音源,既存APPROVED素材の派生・HOSHILU公式オーガニックSNS,HOSHILU公式オーガニックSNS,2026-08-09,APPROVED,12秒・1080x1920・画面内モーション・音声・現行4機能と最大13モール表記
hoshilu_model_reference_v2,tools/line-worker/public/social/runway/hoshilu-approved-model-reference-v2.jpg,Runway gen4_image生成(架空人物・実在人物に似せない指示付きプロンプト・seed 20260820・GitHub Actions run 32169646363/32198831680・原本1080x1920 PNG sha256=persona_candidate_02),なし(静止画),該当なし,HOSHILU公式AI女優の参照画像(第3弾以降のidentity_consistent基準)。Runway product_ugcのcharacter_image_urlとして使用,2026-08-19,APPROVED,大隆さんが候補6枚から選定(2026-08-19)。v2=22歳想定の若者向けライン。v1=30〜50代向けライン。どちらも架空人物
hoshilu_ai_actress_daily_mon_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-mon-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=c4c748a6d4bd78182fe2164fea37826896934f59a7721d2d059dcb19042eeb5c
hoshilu_ai_actress_daily_tue_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-tue-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=4319d171d872a45885d39a8a2bc15566a8ccedcd2596ddc97d11aff9f6e45ad0
hoshilu_ai_actress_daily_wed_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-wed-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=3dc0d5da783b8bcdc6925ec0f8b32c123a0911494ad317b8ff05f28fc73ffd0a
hoshilu_ai_actress_daily_thu_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-thu-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=544a0fe540108cbdfdface9eee528eee5314eecf6719ba6e64062d79ec250690
hoshilu_ai_actress_daily_fri_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-fri-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=2367256ef25f806dc636b61ee2651c302165d62f082060bf5af01f1243e3fbf6
hoshilu_ai_actress_daily_sat_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-sat-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=04dc93f703b34c35cefaa14a9cf9c7e9c5d5d5b2080c93793e1ec9cb2bcf8641
hoshilu_ai_actress_daily_sun_v1,tools/line-worker/public/social/hoshilu-ai-actress-daily-sun-v1.mp4,承認済みv2参照画像とHOSHILU自社制作画面の日替わり編集,Can't Get You Off My Mind / Michael Ramir C.,Mixkit無料ライセンス・SNSとオンライン広告利用可・クレジット不要,HOSHILU公式オーガニックSNS,2026-08-29,APPROVED,9秒・720x1280・v2 22歳想定・字幕・音声・全編decode済・sha256=13a2cbe9421b21866e101a416c60767b0d3d015d051206254e2614deb8368192
